User-ID;ISBN;Rating
35718;3426602474;0
59554;0385245319;0
59269;0671758896;0
85872;0747551367;0
250405;0671028375;0
155147;0446605891;0
166123;055327953X;0
185640;0449221482;4
153662;0821772902;8
73548;0394559592;9
170634;0590767429;0
103527;0394563492;0
175886;0263758222;0
197775;0552134619;0
46904;0671003356;0
11676;1576736997;6
43806;0373055943;0
30716;0373711530;0
250818;0395366380;0
56447;1560545275;0
75860;0373093217;0
205487;0425183149;0
31030;3746611091;0
56271;0380718235;0
110029;0099617706;0
9856;0671726498;8
148966;0373292910;5
149512;0385483732;0
201926;0441790348;0
135799;044022473X;10
79754;0345435389;0
110029;0263754812;0
120093;0553582755;0
103541;0747546290;8
232945;0380804670;7
207251;0385722613;10
180591;0451166582;0
114218;1551539098;0
198711;0553276697;0
158033;0316789976;0
148744;0451821114;0
66680;0553116606;0
251362;0394825136;10
99630;0312989768;5
208671;1558744592;7
160574;0130447315;6
7346;0425184226;0
63033;0375700757;0
126296;0345413377;8
222035;0743526376;8
35859;0394819519;0
50225;0380708213;0
87600;3492260136;6
100846;0449148394;0
49144;8425334152;8
270605;044920037X;9
133747;0671892673;0
167800;0515121746;0
248547;0330309684;0
130474;0486244938;0
13273;0517294559;0
127826;0449006417;0
278418;0373707347;0
248259;0553560441;0
21397;006050918X;0
52584;0671452177;0
33818;0451160444;8
110973;0671836323;0
32195;0380753006;0
1025;0330301691;0
151071;0312269587;5
126736;0446359866;0
251843;0140031189;0
95193;0785281495;0
62042;0771033958;7
249178;0670894508;0
40889;0345339681;10
256562;1576751031;0
49155;8478887032;0
92979;0007612621;0
196466;0743418174;0
236058;0671702505;0
259125;0345425707;6
190708;0671693808;5
137587;0345354915;7
122801;015100692X;0
205735;0448095521;0
94627;0440219329;0
231210;0345390458;0
33974;0310448719;8
224764;0553212710;0
76352;0553289721;0
82926;0451144287;0
143405;0425087778;0
123095;0897212533;5
168036;0553585916;0
64358;0684195984;5
130571;0486282015;0
89913;0312291639;7
124942;067100185X;0
11590;0590416677;0
228021;1563890410;10
105517;0836218256;9
46398;014062032X;0
268110;1882835107;3
232131;015640057X;0
35857;074341134X;0
226553;0515089958;5
48046;0679429220;0
274803;1882723007;0
130474;0451406222;0
72352;0373226039;6
134120;0451409485;0
106225;0679720553;0
215796;0804114609;9
250709;156931294X;5
269566;0380418975;0
237990;0060972920;7
107784;0373711026;0
153662;0670894508;0
265313;0425109240;0
98391;1570721831;9
105677;3518374869;0
265784;0440106079;8
159868;055357258X;9
116324;0671899562;0
56959;0689713916;10
240710;015100417X;0
